idManifestacion	place	entity	date	lugarPublicacionOriginal
248405	Alacant	Université Paris 8		Alacant, Université Paris 8, Universitat d'Alacant, Grup d'Estudis transversals: literatura i altres arts en les cultures mediterrànies; Paris: Universite de Paris 8, Vincenne-Saint-Denis
248648	Madrid	Servicio de Publicaciones del Consejo Superior de Investigaciones Científicas		Madrid, Servicio de Publicaciones del Consejo Superior de Investigaciones Científicas.
248649	Madrid	Servicio de Publicaciones del Consejo Superior de Investigaciones Científicas		Madrid, Servicio de Publicaciones del Consejo Superior de Investigaciones Científicas.
248668	Madrid	Servicio de Publicaciones del Consejo Superior de Investigaciones Científicas		Madrid, Servicio de Publicaciones del Consejo Superior de Investigaciones Científicas.
248751	Pamplona	Universidad de Navarra		Pamplona, Universidad de Navarra.
249719	Valencia 	s. a		En Valencia : y oficina de D. Benito Monfort ..., [s. a.].
250608	Barcelona	Editorial Ariel		Barcelona, Editorial Ariel, [s.a.]
250835	Buenos Aires	Instituto de Filología y Literaturas Hispánicas Dr. Amado Alonso		Buenos Aires, Instituto de Filología y Literaturas Hispánicas Dr. Amado Alonso, Universidad
250843	La Plata	Centro de Teoría y Crítica Literaria		La Plata, Centro de Teoría y Crítica Literaria, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional
251182	Valencia	Prometeo		Valencia, Prometeo, [19--?].
251183	Valencia	Prometeo		Valencia, Prometeo, [19--?]
251184	Valencia	Prometeo		Valencia, Prometeo, [19--?]
251185	Valencia	Prometeo		Valencia, Prometeo, [19--?]
251196	Barcelona	S. XIV		Barcelona, S. XIV. 
251399	Paris	Garnier Hermanos		Paris, Garnier Hermanos, [s.a]
251401	Paris	Garnier Hermanos		Paris, Garnier Hermanos, [s.a]
251427	Salamanca	Universidad de Salamanca		Salamanca, Universidad de Salamanca
251631	Córdoba	en la Imprenta del Colegio de la Asunción		Córdoba, en la Imprenta del Colegio de la Asunción, [17--]
251632	Sevilla 	17-		Sevilla : en la Imprenta del Correo Viejo, [17--]
251685	Valladolid	En la Imprenta de Alonso del Riego		Valladolid, En la Imprenta de Alonso del Riego, [17--].
251687	S.l.	19--?		[S.l., s.n.], [19--?]
251688	S.l.	19--?		[S.l., s.n.], [19--?]
251689	S.l.	19--?		[S.l., s.n.], [19--?]
251691	S.l.	19--?		[S.l., s.n.], [19--?]
251692	S.l.	19--?		[S.l., s.n.], [19--?]
251693	S.l.	19--?		[S.l., s.n.], [19--?]
251695	S.l.	19--?		[S.l., s.n.], [19--?]
251724	Madrid	193?		Madrid, [s.n.], 193?
251729	s.l.	16-		[s.l., s.n.], [16--]
251752	Santiago de Compostela	s.a		Santiago de Compostela: Centro Ramón Piñeiro para a Investigación en Humanidades, [s.a.]
251886	Lima			Lima
